Brand,Model,Fuel,Mileage,Year,Price
KIA,Rio Berline,Essence,163746.0,2016.0,35000
Peugeot,3008,Essence,55000.0,2022.0,105000
Renault,Clio Campus climatisée,Essence,116000.0,2012.0,30500
Chery,Tiggo 3X Luxury,Essence,47000.0,2022.0,52000
Peugeot,3008,Essence,210000.0,2010.0,32000
KIA,Rio Berline,Essence,90500.0,2020.0,52000
Hyundai,Grand i10,Essence,43200.0,2021.0,43500
MG,5,Essence,37000.0,2022.0,58000
Mercedes-Benz,Classe C,Essence,159000.0,2012.0,73500
Mercedes-Benz,GLC Coupé AMG,Hybride,47000.0,2021.0,260000
Haval,H6 Luxury,Essence,100000.0,2019.0,77000
Mercedes-Benz,Classe E,Essence,197000.0,2010.0,67000
Mercedes-Benz,Classe C coupé AMG,Hybride,86000.0,2019.0,178000
Land Rover,Range Rover Evoque R-Dynamic,Diesel,150000.0,2016.0,122000
BMW,Série 4 Gran Coupé,Essence,90000.0,2019.0,145000
Land Rover,Range Rover Velar R-Dynamic,Diesel,55000.0,2020.0,258000
Mercedes-Benz,GLA AMG,Essence,20000.0,2023.0,189000
Hyundai,Kona Hybride N Line,Hybride,19500.0,2020.0,97500
Audi,Q3,Essence,110000.0,2019.0,112000
Porsche,Cayenne,Essence,195000.0,2012.0,152000
MG,HS Trophy,Essence,35000.0,2021.0,103000
Mercedes-Benz,Classe S S 350 phase 2,Essence,165000.0,2010.0,122000
Mercedes-Benz,Classe C AMG,Essence,135000.0,2019.0,161300
Volkswagen,Golf 7 Join,Essence,83000.0,2018.0,72000
Mercedes-Benz,Classe S S350. Toit ouvrant,Essence,147000.0,2009.0,98000
Peugeot,Partner Origin Utilitaire Pack Clim PM,Diesel,73000.0,2019.0,56000
KIA,Sportage GT-Line,Diesel,139000.0,2018.0,95000
Cupra,Formentor Sport,Essence,41000.0,2022.0,155000
Mercedes-Benz,Classe C AMG,Hybride,54000.0,2018.0,165000
Mercedes-Benz,Classe C AMG,Hybride,69000.0,2020.0,165000
Volkswagen,Golf 7 Confortline,Essence,69000.0,2020.0,75000
KIA,Rio 5p,Essence,145000.0,2019.0,51000
Mercedes-Benz,Classe A,Hybride,66000.0,2021.0,145000
Volkswagen,Golf 7,Essence,88000.0,2018.0,95000
BMW,Série 1,Essence,144000.0,2015.0,55000
Volkswagen,Golf 7 Join,Essence,120000.0,2020.0,76500
BMW X,2 Lounge,Essence,0.0,2024.0,199000
Land Rover,Range Rover Evoque R-Dynamic,Diesel,59000.0,2021.0,169000
Volkswagen,Golf 8 R-Line,Hybride,12000.0,2022.0,110000
Mercedes-Benz,GLA AMG,Essence,30000.0,2018.0,122000
Mercedes-Benz,GLC Coupé AMG,Hybride,50000.0,2021.0,259000
Mercedes-Benz,Classe C AMG +,Essence,60000.0,2021.0,174000
Volkswagen,T-roc 1.5,Hybride,9000.0,2024.0,155000
Mercedes-Benz,Classe C AMG,Essence,32000.0,2022.0,197000
Land Rover,Range Rover Evoque R-Dynamic S,Hybride,59000.0,2021.0,218000
Volkswagen,Golf 8,Hybride,40000.0,2020.0,115000
Mercedes-Benz,Classe C AMG +,Hybride,11000.0,2024.0,248000
Suzuki,Jimny,Essence,60000.0,2021.0,89500
Mercedes-Benz,Classe E coupé AMG,Essence,180000.0,2010.0,68000
Volkswagen,T-roc Toit ouvrant,Essence,44000.0,2020.0,98000
Mercedes-Benz,Classe C AMG,Essence,180000.0,2016.0,99500
Mercedes-Benz,GLB AMG,Essence,16000.0,2023.0,184000
Mercedes-Benz,Classe E AMG,Hybride,0.0,2024.0,435000
Mercedes-Benz,Classe C AMG,Essence,175000.0,2016.0,109000
BMW,Série 5 Luxury Line,Essence,155000.0,2017.0,124500
Mercedes-Benz,Classe A A200,Hybride,8000.0,2024.0,169000
KIA,Sportage GT-Line,Hybride,40000.0,2023.0,149000
Land Rover,Range Rover Velar R-Dynamic,Essence,33000.0,2019.0,268000
BMW,Série 7 B7 ALPINA,Essence,115000.0,2011.0,158000
Volkswagen,Golf 8 ÉDITION,Essence,45000.0,2021.0,89500
Mercedes-Benz,Classe E AMG,Hybride,0.0,2024.0,450000
Mercedes-Benz,GLC Coupé AMG,Essence,0.0,2024.0,415000
Mercedes-Benz,CLA AMG,Hybride,42000.0,2020.0,169000
Audi,Q5 Sportback S-Line,Hybride,45000.0,2022.0,295000
Mercedes-Benz,Classe A A 200,Essence,57000.0,2018.0,124000
Mercedes-Benz,CLA AMG,Essence,30000.0,2023.0,188000
Land Rover,Range Rover Sport,Essence,180000.0,2014.0,178000
Mercedes-Benz,GLC Coupé AMG,Essence,106000.0,2016.0,225000
Audi,Q3 Sportback hybrid,Hybride,50000.0,2021.0,175000
Porsche,Cayenne Coupé,Essence,37000.0,2020.0,380000
Jaguar,F-Pace R-Dynamic S,Essence,27000.0,2021.0,269000
BMW X,1 FACELIFT PACK M,Essence,87000.0,2020.0,129000
Mitsubishi,L200 Sportero,Diesel,19000.0,2022.0,168000
Audi,A5 Sportback S-Line,Essence,85000.0,2020.0,147000
Mercedes-Benz,ML,Diesel,231000.0,2010.0,88000
Mercedes-Benz,CLA,Diesel,93000.0,2020.0,148000
BMW X,6,Essence,180000.0,2011.0,98000
Mercedes-Benz,GLC Coupé,Hybride,70000.0,2020.0,245000
Mercedes-Benz,Classe G,Diesel,168000.0,2010.0,350000
Peugeot,508,Essence,46000.0,2020.0,85000
Seat,Leon Cupra,Essence,74000.0,2020.0,132000
Volkswagen,Touareg,Diesel,308000.0,2006.0,48000
Mercedes-Benz,Classe S,Hybride,79000.0,2015.0,195000
Peugeot,508,Essence,137000.0,2019.0,83000
Land Rover,Range Rover Sport,Hybride,100000.0,2019.0,340000
BMW,Série 5,Essence,93000.0,2020.0,178000
Mercedes-Benz,GLC Coupé,Essence,0.0,2024.0,400000
BMW,Série 5,Essence,32000.0,2021.0,208000
Mercedes-Benz,GLC,Essence,83000.0,2016.0,158000
Mercedes-Benz,CLA,Hybride,69000.0,2021.0,174000
Citroën,DS3,Essence,92000.0,2017.0,30500
Mini,Clubman,Essence,34000.0,2019.0,100000
Mercedes-Benz,Classe S,Hybride,40000.0,2020.0,450000
Nissan,Qashqai,Essence,26000.0,2022.0,95000
Mercedes-Benz,Classe E,Essence,9000.0,2022.0,245000
Mercedes-Benz,GLC Coupé,Essence,6600.0,2023.0,360000
Audi,A5 Sportback,Essence,58000.0,2021.0,170000
Seat,Ateca,Essence,85000.0,2020.0,98000
Porsche,Cayenne E-Hybrid,Hybride,86000.0,2019.0,410000
KIA,Picanto GT-Line,Essence,63000.0,2022.0,54500
Toyota,Prado,Diesel,449000.0,2003.0,88000
BYD,F3,Essence,10000.0,2022.0,47000
Land Rover,Range Rover Sport,Hybride,37000.0,2020.0,350000
Volkswagen,Golf 7,Essence,73000.0,2017.0,115000
Porsche,Macan,Essence,6900.0,2023.0,375000
BMW,Série 3,Essence,80000.0,2021.0,174000
Audi,Q3,Essence,2000.0,2024.0,190000
Porsche,Cayenne Coupé,Essence,59000.0,2019.0,370000
Toyota,Land Cruiser,Diesel,98000.0,2016.0,350000
Mini,5 portes,Essence,75000.0,2015.0,58000
