Title,Mileage,Year,Transmission,Fuel,Price
KIA Rio Berline,163 746,2016,Manuelle,Essence,35 000
Peugeot 3008,55 000,2022,Automatique,Essence,105 000
Renault Clio Campus climatisée,116 000,2012,Manuelle,Essence,30 500
Chery Tiggo 3X Luxury,47 000,2022,Automatique,Essence,52 000
Peugeot 3008,210 000,2010,Manuelle,Essence,32 000
KIA Rio Berline,90 500,2020,Manuelle,Essence,52 000
Hyundai Grand i10,43 200,2021,Manuelle,Essence,43 500
MG 5,37 000,2022,Automatique,Essence,58 000
Mercedes-Benz Classe C,159 000,2012,Automatique,Essence,73 500
Mercedes-Benz GLC Coupé AMG,47 000,2021,Automatique,Hybride,260 000
Haval H6 Luxury,100 000,2019,Automatique,Essence,77 000
Mercedes-Benz Classe E,197 000,2010,Automatique,Essence,67 000
Mercedes-Benz Classe C coupé AMG,86 000,2019,Automatique,Hybride,178 000
Land Rover Range Rover Evoque R-Dynamic,150 000,2016,Automatique,Diesel,122 000
BMW Série 4 Gran Coupé,90 000,2019,Automatique,Essence,145 000
Land Rover Range Rover Velar R-Dynamic,55 000,2020,Automatique,Diesel,258 000
Mercedes-Benz GLA AMG,20 000,2023,Automatique,Essence,189 000
Hyundai Kona Hybride N Line,19 500,2020,Automatique,Hybride,97 500
Audi Q3,110 000,2019,Automatique,Essence,112 000
Porsche Cayenne,195 000,2012,Automatique,Essence,152 000
MG HS Trophy,35 000,2021,Automatique,Essence,103 000
Mercedes-Benz Classe S S 350 phase 2,165 000,2010,Automatique,Essence,122 000
Mercedes-Benz Classe C AMG,135 000,2019,Automatique,Essence,Sous leasing                    161 300
Volkswagen Golf 7 Join,83 000,2018,Manuelle,Essence,72 000
Mercedes-Benz Classe S S350. Toit ouvrant,147 000,2009,Automatique,Essence,98 000
Peugeot Partner Origin Utilitaire Pack Clim PM,73 000,2019,Manuelle,Diesel,56 000
KIA Sportage GT-Line,139 000,2018,Automatique,Diesel,95 000
Cupra Formentor Sport,41 000,2022,Automatique,Essence,155 000
Mercedes-Benz Classe C AMG,54 000,2018,Automatique,Hybride,165 000
Mercedes-Benz Classe C AMG,69 000,2020,Automatique,Hybride,165 000
Volkswagen Golf 7 Confortline,69 000,2020,Manuelle,Essence,75 000
KIA Rio 5p,145 000,2019,Manuelle,Essence,51 000
Mercedes-Benz Classe A,66 000,2021,Automatique,Hybride,145 000
Volkswagen Golf 7,88 000,2018,Manuelle,Essence,95 000
BMW Série 1,144 000,2015,Automatique,Essence,55 000
Volkswagen Golf 7 Join,120 000,2020,Automatique,Essence,76 500
BMW X2 Lounge,0,2024,Automatique,Essence,199 000
Land Rover Range Rover Evoque R-Dynamic,59 000,2021,Automatique,Diesel,169 000
Volkswagen Golf 8 R-Line,12 000,2022,Manuelle,Hybride,110 000
Mercedes-Benz GLA AMG,30 000,2018,Automatique,Essence,122 000
Mercedes-Benz GLC Coupé AMG,50 000,2021,Automatique,Hybride,259 000
Mercedes-Benz Classe C AMG +,60 000,2021,Automatique,Essence,174 000
Volkswagen T-roc 1.5,9 000,2024,Automatique,Hybride,155 000
Mercedes-Benz Classe C AMG,32 000,2022,Automatique,Essence,197 000
Land Rover Range Rover Evoque R-Dynamic S,59 000,2021,Automatique,Hybride,218 000
Volkswagen Golf 8,40 000,2020,Automatique,Hybride,115 000
Mercedes-Benz Classe C AMG +,11 000,2024,Automatique,Hybride,248 000
Suzuki Jimny,60 000,2021,Automatique,Essence,89 500
Mercedes-Benz Classe E coupé AMG,180 000,2010,Automatique,Essence,68 000
Volkswagen T-roc Toit ouvrant,44 000,2020,Manuelle,Essence,98 000
Mercedes-Benz Classe C AMG,180 000,2016,Automatique,Essence,99 500
Mercedes-Benz GLB AMG,16 000,2023,Automatique,Essence,184 000
Mercedes-Benz Classe E AMG,0,2024,Automatique,Hybride,435 000
Mercedes-Benz Classe C AMG,175 000,2016,Automatique,Essence,109 000
BMW Série 5 Luxury Line,155 000,2017,Automatique,Essence,124 500
Mercedes-Benz Classe A A200,8 000,2024,Automatique,Hybride,169 000
KIA Sportage GT-Line,40 000,2023,Automatique,Hybride,149 000
Land Rover Range Rover Velar R-Dynamic,33 000,2019,Automatique,Essence,268 000
BMW Série 7 B7 ALPINA,115 000,2011,Automatique,Essence,158 000
Volkswagen Golf 8 ÉDITION,45 000,2021,Manuelle,Essence,89 500
Mercedes-Benz Classe E AMG,0,2024,Automatique,Hybride,450 000
Mercedes-Benz GLC Coupé AMG,0,2024,Automatique,Essence,415 000
Mercedes-Benz CLA AMG,42 000,2020,Automatique,Hybride,169 000
Audi Q5 Sportback S-Line,45 000,2022,Automatique,Hybride,295 000
Mercedes-Benz Classe A A 200,57 000,2018,Automatique,Essence,124 000
Mercedes-Benz CLA AMG,30 000,2023,Automatique,Essence,188 000
Land Rover Range Rover Sport,180 000,2014,Automatique,Essence,178 000
Porsche Panamera 4S E-hybride plugin,32 000,2021,Automatique,Hybride,535 000
Mercedes-Benz GLC Coupé AMG,106 000,2016,Automatique,Essence,225 000
Audi Q3 Sportback hybrid,50 000,2021,Automatique,Hybride,175 000
Porsche Cayenne Coupé,37 000,2020,Automatique,Essence,380 000
Jaguar F-Pace R-Dynamic S,27 000,2021,Automatique,Essence,269 000
BMW X1 FACELIFT PACK M,87 000,2020,Automatique,Essence,129 000
Mitsubishi L200 Sportero,19 000,2022,Automatique,Diesel,168 000
Porsche Cayenne,15 000,2022,Automatique,Hybride,510 000
Audi A5 Sportback S-Line,85 000,2020,Automatique,Essence,147 000
Mercedes-Benz ML,231 000,2010,Automatique,Diesel,88 000
Mercedes-Benz CLA,93 000,2020,Automatique,Diesel,148 000
BMW X6,180 000,2011,Automatique,Essence,98 000
Mercedes-Benz GLC Coupé,70 000,2020,Automatique,Hybride,245 000
Mercedes-Benz Classe G,168 000,2010,Automatique,Diesel,350 000
Peugeot 508,46 000,2020,Automatique,Essence,85 000
Seat Leon Cupra,74 000,2020,Automatique,Essence,132 000
Volkswagen Touareg,308 000,2006,Automatique,Diesel,48 000
Mercedes-Benz Classe S,79 000,2015,Automatique,Hybride,195 000
Peugeot 508,137 000,2019,Automatique,Essence,83 000
Land Rover Range Rover Sport,100 000,2019,Automatique,Hybride,340 000
BMW Série 5,93 000,2020,Automatique,Essence,178 000
Mercedes-Benz GLC Coupé,0,2024,Automatique,Essence,400 000
BMW Série 5,32 000,2021,Automatique,Essence,208 000
Mercedes-Benz Classe G AMG,30 000,2015,Automatique,Essence,630 000
Mercedes-Benz GLC,83 000,2016,Automatique,Essence,158 000
Mercedes-Benz CLA,69 000,2021,Automatique,Hybride,174 000
Citroën DS3,92 000,2017,Manuelle,Essence,30 500
Mini Clubman,34 000,2019,Manuelle,Essence,100 000
Mercedes-Benz Classe S,40 000,2020,Automatique,Hybride,450 000
Nissan Qashqai,26 000,2022,Automatique,Essence,95 000
Mercedes-Benz Classe E,9 000,2022,Automatique,Essence,245 000
Mercedes-Benz GLC Coupé,6 600,2023,Automatique,Essence,360 000
Audi A5 Sportback,58 000,2021,Automatique,Essence,170 000
Seat Ateca,85 000,2020,Automatique,Essence,98 000
Porsche Cayenne E-Hybrid,86 000,2019,Automatique,Hybride,410 000
KIA Picanto GT-Line,63 000,2022,Automatique,Essence,54 500
Toyota Prado,449 000,2003,Automatique,Diesel,88 000
BYD F3,10 000,2022,Manuelle,Essence,47 000
Land Rover Range Rover Sport,37 000,2020,Automatique,Hybride,350 000
Volkswagen Golf 7,73 000,2017,Automatique,Essence,115 000
Porsche Macan,6 900,2023,Automatique,Essence,375 000
BMW Série 3,80 000,2021,Automatique,Essence,174 000
Audi Q3,2 000,2024,Automatique,Essence,190 000
Porsche Cayenne Coupé,59 000,2019,Automatique,Essence,370 000
Toyota Land Cruiser,98 000,2016,Automatique,Diesel,350 000
Mini 5 portes,75 000,2015,Manuelle,Essence,58 000
Mercedes-Benz Classe E coupé,86 000,2018,Automatique,Hybride,340 000
Peugeot 3008,87 000,2019,Automatique,Essence,82 000
Toyota RAV 4,280 000,2016,Automatique,Essence,56 000
Fiat 500 C,71 000,2017,Automatique,Essence,45 500
Mercedes-Benz GLC Coupé,52 000,2020,Automatique,Diesel,240 000
Suzuki Swift,69 000,2020,Automatique,Essence,42 000
Toyota Corolla,32 000,2022,Automatique,Essence,76 000
Ssangyong Korando,80 000,2021,Automatique,Essence,92 500
Jeep Wrangler Sahara,115 000,2018,Automatique,Essence,225 000
Peugeot 2008 Allure,96 000,2015,Manuelle,Essence,40 000
BMW Série 4 Gran Coupé,121 000,2019,Automatique,Essence,100 000
Volkswagen Tiguan,123 000,2021,Manuelle,Essence,95 000
BMW Série 3 318i,200 000,2015,Automatique,Essence,59 000
Peugeot 307,110 451,2007,Manuelle,Essence,25 500
Mercedes-Benz Classe A AMG,96 000,2019,Automatique,Diesel,118 000
Mini Countryman All4,33 000,2020,Automatique,Hybride,139 500
MG ZS,110 000,2021,Manuelle,Essence,58 000
Mercedes-Benz Classe C,7 300,2022,Automatique,Essence,245 000
KIA Sportage Hybride,53 000,2020,Automatique,Hybride,120 000
BMW Série 1 Pack M,110,2020,Automatique,Essence,115 000
Fiat 500 Dolcevita,78 000,2021,Manuelle,Hybride,55 000
Fiat Tipo 5 portes,68 000,2021,Manuelle,Essence,49 500
Renault Clio,138 000,2020,Manuelle,Diesel,49 500
Mercedes-Benz Classe C,158 000,2015,Automatique,Essence,99 000
Suzuki Celerio,0,2024,Manuelle,Essence,39 500
Volkswagen Golf 7,153 000,2015,Manuelle,Essence,48 500
Renault Megane,148 000,2021,Manuelle,Diesel,59 500
Peugeot 208 Style,128 000,2020,Manuelle,Diesel,45 500
Audi Q5 S-line,270 000,2014,Automatique,Diesel,78 000
Citroën C1 Importée Tn245,56 000,2021,Manuelle,Essence,38 500
Haval H6 Luxury,138 000,2021,Automatique,Essence,76 000
Peugeot 3008,148 000,2020,Automatique,Diesel,79 000
Volkswagen Amarok TDI 4*4,198 000,2012,Manuelle,Diesel,57 000
Mercedes-Benz CLA AMG,138 000,2020,Automatique,Diesel,145 000
Mercedes-Benz CLA Importée Tn245,138 000,2020,Automatique,Diesel,118 000
Mercedes-Benz CLA,87 000,2021,Automatique,Essence,149 000
Volkswagen Golf 8 STYLE 1.5 BVA eTSI  importée,87 000,2021,Automatique,Essence,110 000
KIA Sportage GT-Line,119 000,2019,Automatique,Diesel,98 000
Haval H6,16 000,2022,Automatique,Essence,99 000
BMW Série 5 Pack M,70 000,2021,Automatique,Essence,185 000
