Brand,Core_Model,Specifications,Year,Fuel,Mileage,Price
audi,Q3,S-Line,2017.0,Essence,100000.0,90000
audi,Q8,S_Line,2021.0,Essence,16000.0,398000
audi,Q5,,2018.0,Diesel,100000.0,215000
audi,A3,Berline,2020.0,Essence,17000.0,97000
audi,Q3,Sportback,2021.0,Essence,10000.0,188000
audi,Q3,,2024.0,Essence,2000.0,190000
audi,Q3,Bva,2023.0,Essence,3000.0,165000
audi,A6,,2016.0,Essence,166920.0,55000
audi,A5,Sportback,2019.0,Essence,80000.0,115000
audi,A5,Sportback,2021.0,Essence,58000.0,170000
audi,Q5,S-Line,2015.0,Diesel,176000.0,110000
audi,Q2,Design,2019.0,Essence,77000.0,95000
audi,A3,Sportback S-Line,2019.0,Essence,70000.0,95000
audi,A3,Sportback 1.5,2023.0,Hybride,900.0,145000
audi,Q3,,2023.0,Hybride,40000.0,200000
audi,A5,Cabriolet S-Line,2010.0,Essence,120000.0,59000
audi,Q3,,2017.0,Essence,77000.0,85000
audi,A5,Coupé,2014.0,Essence,109000.0,75000
audi,Q5,2.0L,2009.0,Essence,255000.0,47000
audi,Q5,S-Line,2021.0,Diesel,40000.0,295000
audi,Q5,S-Line,2014.0,Diesel,270000.0,78000
audi,Q5,Sportback S-Line,2022.0,Hybride,45000.0,295000
audi,A5,Sportback,2021.0,Essence,70000.0,185000
audi,A3,Berline,2019.0,Essence,50000.0,85000
audi,Q3,,2017.0,Essence,95000.0,95000
audi,Q3,Sportback,2021.0,Hybride,50000.0,175000
audi,Q3,,2019.0,Essence,110000.0,112000
audi,A3,Sportback 1.2L,2019.0,Essence,125000.0,78500
audi,A5,Cabriolet S-Line,2010.0,Essence,120000.0,59000
audi,A5,Sportback S-Line,2019.0,Essence,120000.0,109000
audi,A3,,2020.0,Essence,98000.0,78000
audi,A5,Sportback S-Line,2020.0,Essence,85000.0,147000
audi,Q5,Quattro 40 Tdi,2019.0,Diesel,170000.0,165000
audi,A4,Face_Lift,2016.0,Essence,143000.0,58000
bmw,Série 1,I Pack Sport,2019.0,Essence,200000.0,75000
bmw,Série 6,Face Lift,2009.0,Essence,190000.0,85000
bmw,Série 3,318I,2017.0,Essence,117000.0,88000
bmw,Série 4,Coupé 420I,2015.0,Essence,180000.0,87000
bmw,X1,Facelift Pack M,2020.0,Essence,87000.0,129000
bmw,X6,,2011.0,Essence,180000.0,98000
bmw,Série 5,,2020.0,Essence,93000.0,178000
bmw,Série 4,Gran Coupé Luxury,2018.0,Essence,100000.0,99000
bmw,Série 3,Luxury,2013.0,Essence,112000.0,65000
bmw,X6,Pack M,2008.0,Diesel,270000.0,110000
bmw,Série 7,740Li,2010.0,Essence,98000.0,110000
bmw,Série 3,,2007.0,Essence,248000.0,33500
bmw,Série 1,Pack M,2020.0,Essence,110.0,115000
bmw,Série 1,Pack M,2020.0,Essence,40000.0,135000
bmw,Série 4,Gran Coupé 418 Luxury,2016.0,Essence,133000.0,97000
bmw,Série 5,530E Xdrive Pack M,2021.0,Hybride,50000.0,278000
bmw,Série 3,318I,2015.0,Essence,200000.0,59000
bmw,Série 4,Gran Coupé,2019.0,Essence,121000.0,100000
bmw,Série 5,Pack M,2021.0,Essence,70000.0,185000
bmw,Série 4,Coupé Pack M,2021.0,Essence,140000.0,130000
bmw,Série 4,Gran Coupé,2020.0,Essence,53000.0,107000
bmw,Série 5,Confort Luxury,2015.0,Essence,200000.0,90000
bmw,Série 3,,2021.0,Essence,80000.0,174000
bmw,Série 1,,2017.0,Essence,126000.0,68000
bmw,Série 4,Coupé 420I Pack M,2015.0,Essence,160000.0,107000
bmw,Série 1,,2009.0,Essence,131766.0,40000
bmw,Série 2,Gran Coupé 218I,2022.0,Essence,21000.0,135000
bmw,Série 5,,2021.0,Essence,32000.0,208000
bmw,Série 1,Pack Sport,2020.0,Essence,70000.0,92000
bmw,X5,Xdrive E45,2021.0,Hybride,19000.0,455000
bmw,Série 4,Gran Coupé 418 Pack M,2017.0,Essence,110000.0,125000
bmw,X5,,2008.0,Diesel,280000.0,67500
bmw,Série 3,Coupé,2010.0,Essence,156000.0,62000
bmw,Série 5,520,2014.0,Essence,182000.0,75000
bmw,Série 3,,2012.0,Essence,180000.0,45000
bmw,X4,,2016.0,Essence,62000.0,152000
bmw,Série 4,,2019.0,Essence,150000.0,105000
bmw,Série 1,,2007.0,Essence,240000.0,28600
bmw,X2,S Drive,2020.0,Essence,74000.0,132000
bmw,Série 1,,2015.0,Essence,144000.0,55000
bmw,Série 4,Coupé M,2019.0,Essence,85000.0,150000
bmw,X2,Lounge,2024.0,Essence,0.0,199000
bmw,Série 4,Gran Coupé,2019.0,Essence,90000.0,145000
bmw,X1,1.6L,2016.0,Essence,126000.0,85000
bmw,Série 1,M,2022.0,Essence,40000.0,138500
bmw,Série 4,Gran Coupé Kit-M-Individual,2016.0,Essence,120000.0,145000
bmw,X5,,2009.0,Essence,154000.0,65000
bmw,X3,Luxury Line,2006.0,Diesel,186000.0,65000
bmw,Série 3,Coupé Kit M///,2012.0,Essence,152000.0,74000
bmw,Série 5,Luxury Line,2017.0,Essence,155000.0,124500
bmw,Série 1,Business Line,2012.0,Essence,251000.0,36500
bmw,Série 7,Individuel,2008.0,Essence,300000.0,45000
bmw,Série 4,Coupé,2017.0,Essence,78000.0,110000
bmw,Série 7,740I Face-Lift,2008.0,Essence,220000.0,55000
bmw,Série 3,,2015.0,Essence,210000.0,67000
bmw,Série 7,B7 Alpina,2011.0,Essence,115000.0,158000
bmw,X4,,2018.0,Diesel,140000.0,139000
bmw,Série 1,Pack Sport M,2016.0,Essence,165000.0,75000
citroën,C3,,2018.0,Essence,92000.0,38000
citroën,Ds,C3,2007.0,Essence,195540.0,19700
citroën,C3,Shine,2019.0,Essence,90000.0,44500
citroën,Ds,C-Elysee,2020.0,Essence,70000.0,36500
citroën,Ds,Ds5,2017.0,Essence,110000.0,61500
citroën,Ds,C3,2018.0,Essence,98270.0,42000
citroën,Ds,3,2012.0,Essence,138000.0,35000
citroën,Ds,C3,2018.0,Essence,97000.0,34000
citroën,Ds,Nemo,2014.0,Diesel,420000.0,20000
citroën,C3,Shine,2020.0,Essence,28000.0,48000
citroën,Berlingo,Utilitaire 1.6L,2023.0,Diesel,31000.0,58500
citroën,Berlingo,Utilitaire,2018.0,Diesel,170000.0,37500
citroën,Ds,7 Crossback Grand Chic,2021.0,Essence,140000.0,105000
citroën,Ds3,,2017.0,Essence,92000.0,30500
citroën,C3,Live,2019.0,Essence,119000.0,34500
citroën,C1,Importée Tn245,2021.0,Essence,56000.0,38500
citroën,C3,Shine,2018.0,Essence,88000.0,37500
citroën,C3,Shine,2020.0,Essence,45000.0,47500
citroën,C4,,2012.0,Essence,109000.0,38000
citroën,Ds,Berlingo,2015.0,Diesel,76470.0,38500
citroën,C3,Shine,2019.0,Essence,58000.0,44500
citroën,Ds,C3,2021.0,Essence,58000.0,35500
fiat,500,Dolcevita,2021.0,Hybride,78000.0,55000
fiat,Fiorino,,2019.0,Diesel,112000.0,32000
fiat,Grande,Punto,2014.0,Essence,194500.0,26500
fiat,Tipo,5 Portes,2021.0,Essence,68000.0,49500
fiat,Doblo,,2020.0,Diesel,160000.0,25800
fiat,Panda,City Cross,2020.0,Essence,52000.0,43500
fiat,Panda,,2022.0,Essence,130000.0,38500
fiat,500,C,2017.0,Essence,71000.0,45500
fiat,Tipo,,2020.0,Essence,113000.0,53000
fiat,Fiorino,,2021.0,Diesel,120000.0,35000
fiat,Panda,City Cross,2022.0,Essence,20000.0,45000
fiat,Tipo,5 Portes,2018.0,Essence,75000.0,46000
fiat,500,Cult Club,2023.0,Essence,3000.0,62000
fiat,500,C,2017.0,Essence,71000.0,45500
fiat,500,X Pop Star,2018.0,Essence,60000.0,65000
ford,Fusion,1.6,2017.0,Essence,90000.0,55500
ford,Fusion,Titanium,2016.0,Essence,217000.0,48000
ford,Focus,Titanium,2015.0,Essence,200000.0,40000
ford,Mondeo,,2020.0,Hybride,34000.0,109000
ford,Mondeo,,2020.0,Hybride,32000.0,115000
ford,Focus,,2016.0,Essence,120000.0,42000
ford,Focus,,2020.0,Essence,60000.0,79000
ford,Ranger,Raptor,2022.0,Diesel,100000.0,228000
ford,Kuga,,2017.0,Essence,100000.0,69000
ford,Fiesta,Titanium,2013.0,Essence,223000.0,29500
ford,Fiesta,Trend,2013.0,Essence,161000.0,28000
ford,Focus,Trend Sport,2014.0,Essence,180000.0,36000
ford,Ecosport,,2022.0,Essence,19000.0,78000
ford,Ecosport,Titanium,2022.0,Essence,44000.0,67000
ford,Ecosport,Titanium,2022.0,Essence,67000.0,69000
haval,H6,Luxury,2021.0,Essence,138000.0,76000
haval,H6,Luxury,2019.0,Essence,100000.0,77000
haval,Jolion,1 Ere,2023.0,Essence,30000.0,93000
haval,H6,,2023.0,Essence,12442.0,126000
haval,Jolion,,2021.0,Essence,40000.0,88000
haval,Jolion,,2022.0,Essence,40000.0,87000
haval,H2,Luxury,2019.0,Essence,40000.0,69000
haval,H6,Luxury,2020.0,Essence,120000.0,79000
haval,H6,Luxury,2021.0,Essence,40000.0,90000
haval,H6,Luxury,2019.0,Essence,32000.0,86000
haval,H6,,2022.0,Essence,16000.0,117000
haval,H6,Luxury,2021.0,Essence,55000.0,85000
haval,H6,Luxury,2019.0,Essence,90000.0,78000
haval,H6,,2022.0,Essence,16000.0,99000
haval,H6,,2022.0,Essence,13000.0,150600
haval,H6,Luxury,2020.0,Essence,115000.0,79000
hyundai,I10,Grand,2021.0,Essence,54000.0,53000
hyundai,I10,,2018.0,Essence,88000.0,33000
hyundai,I20,,2022.0,Essence,72000.0,51500
hyundai,Santa,Fe,2020.0,Diesel,48000.0,190000
hyundai,I10,Grand  1.0L,2021.0,Essence,57000.0,39800
hyundai,Tucson,,2021.0,Hybride,80000.0,137000
hyundai,I10,,2023.0,Essence,65000.0,41000
hyundai,Tucson,,2022.0,Essence,37000.0,145000
hyundai,Ix35,Toit Panoramique,2016.0,Diesel,160000.0,63500
hyundai,Tucson,Top Grade,2023.0,Hybride,16000.0,178000
hyundai,Tucson,,2018.0,Diesel,81000.0,100000
hyundai,Tucson,High Grade,2023.0,Essence,19000.0,129000
hyundai,Tucson,Xcellence,2022.0,Hybride,120000.0,138000
hyundai,Tucson,,2020.0,Essence,120000.0,87000
hyundai,Tucson,,2023.0,Essence,24000.0,161000
hyundai,Kona,,2021.0,Hybride,30000.0,79000
hyundai,I10,Grand,2022.0,Essence,30000.0,53000
hyundai,Tucson,Top Grade,2022.0,Essence,40000.0,147000
hyundai,Accent,,2016.0,Essence,141000.0,38000
hyundai,I10,Grand  Sedan,2017.0,Essence,150000.0,30000
hyundai,Kona,N Line,2020.0,Hybride,19500.0,97500
hyundai,I10,Grand,2021.0,Essence,43200.0,43500
kia,Sportage,,2019.0,Essence,150000.0,85000
