Price,Title,Fuel,Mileage,Year
35 000,KIA Rio Berline,Essence,163746.0,2016
105 000,Peugeot 3008,Essence,55000.0,2022
30 500,Renault Clio Campus climatisée,Essence,116000.0,2012
52 000,Chery Tiggo 3X Luxury,Essence,47000.0,2022
32 000,Peugeot 3008,Essence,210000.0,2010
52 000,KIA Rio Berline,Essence,90500.0,2020
43 500,Hyundai Grand i10,Essence,43200.0,2021
58 000,MG 5,Essence,37000.0,2022
73 500,Mercedes-Benz Classe C,Essence,159000.0,2012
260 000,Mercedes-Benz GLC Coupé AMG,Hybride,47000.0,2021
77 000,Haval H6 Luxury,Essence,100000.0,2019
67 000,Mercedes-Benz Classe E,Essence,197000.0,2010
178 000,Mercedes-Benz Classe C coupé AMG,Hybride,86000.0,2019
122 000,Land Rover Range Rover Evoque R-Dynamic,Diesel,150000.0,2016
145 000,BMW Série 4 Gran Coupé,Essence,90000.0,2019
258 000,Land Rover Range Rover Velar R-Dynamic,Diesel,55000.0,2020
189 000,Mercedes-Benz GLA AMG,Essence,20000.0,2023
97 500,Hyundai Kona Hybride N Line,Hybride,19500.0,2020
112 000,Audi Q3,Essence,110000.0,2019
152 000,Porsche Cayenne,Essence,195000.0,2012
103 000,MG HS Trophy,Essence,35000.0,2021
122 000,Mercedes-Benz Classe S S 350 phase 2,Essence,165000.0,2010
Sous leasing                    161 300,Mercedes-Benz Classe C AMG,Essence,135000.0,2019
72 000,Volkswagen Golf 7 Join,Essence,83000.0,2018
98 000,Mercedes-Benz Classe S S350. Toit ouvrant,Essence,147000.0,2009
56 000,Peugeot Partner Origin Utilitaire Pack Clim PM,Diesel,73000.0,2019
95 000,KIA Sportage GT-Line,Diesel,139000.0,2018
155 000,Cupra Formentor Sport,Essence,41000.0,2022
165 000,Mercedes-Benz Classe C AMG,Hybride,54000.0,2018
165 000,Mercedes-Benz Classe C AMG,Hybride,69000.0,2020
75 000,Volkswagen Golf 7 Confortline,Essence,69000.0,2020
51 000,KIA Rio 5p,Essence,145000.0,2019
145 000,Mercedes-Benz Classe A,Hybride,66000.0,2021
95 000,Volkswagen Golf 7,Essence,88000.0,2018
55 000,BMW Série 1,Essence,144000.0,2015
76 500,Volkswagen Golf 7 Join,Essence,120000.0,2020
199 000,BMW X2 Lounge,Essence,0.0,2024
169 000,Land Rover Range Rover Evoque R-Dynamic,Diesel,59000.0,2021
110 000,Volkswagen Golf 8 R-Line,Hybride,12000.0,2022
122 000,Mercedes-Benz GLA AMG,Essence,30000.0,2018
259 000,Mercedes-Benz GLC Coupé AMG,Hybride,50000.0,2021
174 000,Mercedes-Benz Classe C AMG +,Essence,60000.0,2021
155 000,Volkswagen T-roc 1.5,Hybride,9000.0,2024
197 000,Mercedes-Benz Classe C AMG,Essence,32000.0,2022
218 000,Land Rover Range Rover Evoque R-Dynamic S,Hybride,59000.0,2021
115 000,Volkswagen Golf 8,Hybride,40000.0,2020
248 000,Mercedes-Benz Classe C AMG +,Hybride,11000.0,2024
89 500,Suzuki Jimny,Essence,60000.0,2021
68 000,Mercedes-Benz Classe E coupé AMG,Essence,180000.0,2010
98 000,Volkswagen T-roc Toit ouvrant,Essence,44000.0,2020
99 500,Mercedes-Benz Classe C AMG,Essence,180000.0,2016
184 000,Mercedes-Benz GLB AMG,Essence,16000.0,2023
435 000,Mercedes-Benz Classe E AMG,Hybride,0.0,2024
109 000,Mercedes-Benz Classe C AMG,Essence,175000.0,2016
124 500,BMW Série 5 Luxury Line,Essence,155000.0,2017
169 000,Mercedes-Benz Classe A A200,Hybride,8000.0,2024
149 000,KIA Sportage GT-Line,Hybride,40000.0,2023
268 000,Land Rover Range Rover Velar R-Dynamic,Essence,33000.0,2019
158 000,BMW Série 7 B7 ALPINA,Essence,115000.0,2011
89 500,Volkswagen Golf 8 ÉDITION,Essence,45000.0,2021
450 000,Mercedes-Benz Classe E AMG,Hybride,0.0,2024
415 000,Mercedes-Benz GLC Coupé AMG,Essence,0.0,2024
169 000,Mercedes-Benz CLA AMG,Hybride,42000.0,2020
295 000,Audi Q5 Sportback S-Line,Hybride,45000.0,2022
124 000,Mercedes-Benz Classe A A 200,Essence,57000.0,2018
188 000,Mercedes-Benz CLA AMG,Essence,30000.0,2023
178 000,Land Rover Range Rover Sport,Essence,180000.0,2014
535 000,Porsche Panamera 4S E-hybride plugin,Hybride,32000.0,2021
225 000,Mercedes-Benz GLC Coupé AMG,Essence,106000.0,2016
175 000,Audi Q3 Sportback hybrid,Hybride,50000.0,2021
380 000,Porsche Cayenne Coupé,Essence,37000.0,2020
269 000,Jaguar F-Pace R-Dynamic S,Essence,27000.0,2021
129 000,BMW X1 FACELIFT PACK M,Essence,87000.0,2020
168 000,Mitsubishi L200 Sportero,Diesel,19000.0,2022
510 000,Porsche Cayenne,Hybride,15000.0,2022
147 000,Audi A5 Sportback S-Line,Essence,85000.0,2020
88 000,Mercedes-Benz ML,Diesel,231000.0,2010
148 000,Mercedes-Benz CLA,Diesel,93000.0,2020
98 000,BMW X6,Essence,180000.0,2011
245 000,Mercedes-Benz GLC Coupé,Hybride,70000.0,2020
350 000,Mercedes-Benz Classe G,Diesel,168000.0,2010
85 000,Peugeot 508,Essence,46000.0,2020
132 000,Seat Leon Cupra,Essence,74000.0,2020
48 000,Volkswagen Touareg,Diesel,308000.0,2006
195 000,Mercedes-Benz Classe S,Hybride,79000.0,2015
83 000,Peugeot 508,Essence,137000.0,2019
340 000,Land Rover Range Rover Sport,Hybride,100000.0,2019
178 000,BMW Série 5,Essence,93000.0,2020
400 000,Mercedes-Benz GLC Coupé,Essence,0.0,2024
208 000,BMW Série 5,Essence,32000.0,2021
630 000,Mercedes-Benz Classe G AMG,Essence,30000.0,2015
158 000,Mercedes-Benz GLC,Essence,83000.0,2016
174 000,Mercedes-Benz CLA,Hybride,69000.0,2021
30 500,Citroën DS3,Essence,92000.0,2017
100 000,Mini Clubman,Essence,34000.0,2019
450 000,Mercedes-Benz Classe S,Hybride,40000.0,2020
95 000,Nissan Qashqai,Essence,26000.0,2022
245 000,Mercedes-Benz Classe E,Essence,9000.0,2022
360 000,Mercedes-Benz GLC Coupé,Essence,6600.0,2023
170 000,Audi A5 Sportback,Essence,58000.0,2021
98 000,Seat Ateca,Essence,85000.0,2020
410 000,Porsche Cayenne E-Hybrid,Hybride,86000.0,2019
54 500,KIA Picanto GT-Line,Essence,63000.0,2022
88 000,Toyota Prado,Diesel,449000.0,2003
47 000,BYD F3,Essence,10000.0,2022
350 000,Land Rover Range Rover Sport,Hybride,37000.0,2020
115 000,Volkswagen Golf 7,Essence,73000.0,2017
375 000,Porsche Macan,Essence,6900.0,2023
174 000,BMW Série 3,Essence,80000.0,2021
190 000,Audi Q3,Essence,2000.0,2024
370 000,Porsche Cayenne Coupé,Essence,59000.0,2019
350 000,Toyota Land Cruiser,Diesel,98000.0,2016
58 000,Mini 5 portes,Essence,75000.0,2015
340 000,Mercedes-Benz Classe E coupé,Hybride,86000.0,2018
82 000,Peugeot 3008,Essence,87000.0,2019
56 000,Toyota RAV 4,Essence,280000.0,2016
45 500,Fiat 500 C,Essence,71000.0,2017
240 000,Mercedes-Benz GLC Coupé,Diesel,52000.0,2020
42 000,Suzuki Swift,Essence,69000.0,2020
76 000,Toyota Corolla,Essence,32000.0,2022
92 500,Ssangyong Korando,Essence,80000.0,2021
225 000,Jeep Wrangler Sahara,Essence,115000.0,2018
40 000,Peugeot 2008 Allure,Essence,96000.0,2015
100 000,BMW Série 4 Gran Coupé,Essence,121000.0,2019
95 000,Volkswagen Tiguan,Essence,123000.0,2021
59 000,BMW Série 3 318i,Essence,200000.0,2015
25 500,Peugeot 307,Essence,110451.0,2007
118 000,Mercedes-Benz Classe A AMG,Diesel,96000.0,2019
139 500,Mini Countryman All4,Hybride,33000.0,2020
58 000,MG ZS,Essence,110000.0,2021
245 000,Mercedes-Benz Classe C,Essence,7300.0,2022
120 000,KIA Sportage Hybride,Hybride,53000.0,2020
115 000,BMW Série 1 Pack M,Essence,110.0,2020
55 000,Fiat 500 Dolcevita,Hybride,78000.0,2021
